State,Year,Household_Income
United States,2019,65712
"Washington, D.C.",2019,92266
Maryland,2019,86738
Massachusetts,2019,85843
New Jersey,2019,85751
Hawaii,2019,83102
California,2019,80440
Connecticut,2019,78833
Washington,2019,78687
New Hampshire,2019,77933
Colorado,2019,77127
Virginia,2019,76456
Utah,2019,75780
Alaska,2019,75463
Minnesota,2019,74593
New York,2019,72108
Rhode Island,2019,71169
Delaware,2019,70176
Illinois,2019,69187
Oregon,2019,67058
Wyoming,2019,65003
North Dakota,2019,64577
Wisconsin,2019,64168
Texas,2019,64034
Pennsylvania,2019,63463
Nevada,2019,63276
Nebraska,2019,63229
Vermont,2019,63001
Kansas,2019,62087
Arizona,2019,62055
Georgia,2019,61980
Iowa,2019,61691
Idaho,2019,60999
Michigan,2019,59584
South Dakota,2019,59533
Florida,2019,59227
Maine,2019,58924
Ohio,2019,58642
Indiana,2019,57603
Missouri,2019,57409
North Carolina,2019,57341
Montana,2019,57153
South Carolina,2019,56227
Tennessee,2019,56071
Oklahoma,2019,54449
Kentucky,2019,52295
New Mexico,2019,51945
Alabama,2019,51734
Louisiana,2019,51073
Arkansas,2019,48952
West Virginia,2019,48850
Mississippi,2019,45792
United States,2018,63179
"Washington, D.C.",2018,85203
Maryland,2018,83242
Massachusetts,2018,79835
New Jersey,2018,81740
Hawaii,2018,80212
California,2018,75277
Connecticut,2018,76348
Washington,2018,74073
New Hampshire,2018,74991
Colorado,2018,71953
Virginia,2018,72577
Utah,2018,71414
Alaska,2018,74346
Minnesota,2018,70315
New York,2018,67844
Rhode Island,2018,64340
Delaware,2018,64805
Illinois,2018,65030
Oregon,2018,63426
Wyoming,2018,61584
North Dakota,2018,63837
Wisconsin,2018,60773
Texas,2018,60629
Pennsylvania,2018,60905
Nevada,2018,58646
Nebraska,2018,59566
Vermont,2018,60782
Kansas,2018,58218
Arizona,2018,59246
Georgia,2018,58756
Iowa,2018,59955
Idaho,2018,55583
Michigan,2018,56697
South Dakota,2018,56274
Florida,2018,55462
Maine,2018,55602
Ohio,2018,56111
Indiana,2018,55746
Missouri,2018,54478
North Carolina,2018,53855
Montana,2018,55328
South Carolina,2018,52306
Tennessee,2018,52375
Oklahoma,2018,51924
Kentucky,2018,50247
New Mexico,2018,47169
Alabama,2018,49861
Louisiana,2018,47905
Arkansas,2018,47062
West Virginia,2018,44097
Mississippi,2018,44717
United States,2017,60336
"Washington, D.C.",2017,82372
Maryland,2017,80776
Massachusetts,2017,77385
New Jersey,2017,80088
Hawaii,2017,77765
California,2017,71805
Connecticut,2017,74168
Washington,2017,70979
New Hampshire,2017,73381
Colorado,2017,69117
Virginia,2017,71535
Utah,2017,65358
Alaska,2017,73181
Minnesota,2017,68388
New York,2017,64894
Rhode Island,2017,63870
Delaware,2017,62852
Illinois,2017,62992
Oregon,2017,60212
Wyoming,2017,60434
North Dakota,2017,61843
Wisconsin,2017,59305
Texas,2017,59206
Pennsylvania,2017,59105
Nevada,2017,58003
Nebraska,2017,59970
Vermont,2017,57513
Kansas,2017,56422
Arizona,2017,56581
Georgia,2017,56183
Iowa,2017,58570
Idaho,2017,52225
Michigan,2017,54909
South Dakota,2017,56521
Florida,2017,52594
Maine,2017,55277
Ohio,2017,54021
Indiana,2017,54181
Missouri,2017,53578
North Carolina,2017,52752
Montana,2017,53386
South Carolina,2017,50570
Tennessee,2017,51340
Oklahoma,2017,50051
Kentucky,2017,48375
New Mexico,2017,46744
Alabama,2017,48123
Louisiana,2017,46145
Arkansas,2017,45869
West Virginia,2017,43469
Mississippi,2017,43529
United States,2016,57617
"Washington, D.C.",2016,75506
Maryland,2016,78945
Massachusetts,2016,75297
New Jersey,2016,76126
Hawaii,2016,74511
California,2016,67739
Connecticut,2016,73433
Washington,2016,67106
New Hampshire,2016,70936
Colorado,2016,65685
Virginia,2016,68114
Utah,2016,65977
Alaska,2016,76440
Minnesota,2016,65599
New York,2016,62909
Rhode Island,2016,60596
Delaware,2016,61757
Illinois,2016,60960
Oregon,2016,57532
Wyoming,2016,59882
North Dakota,2016,60656
Wisconsin,2016,56811
Texas,2016,56565
Pennsylvania,2016,56907
Nevada,2016,55180
Nebraska,2016,56927
Vermont,2016,57677
Kansas,2016,54935
Arizona,2016,53558
Georgia,2016,53559
Iowa,2016,56247
Idaho,2016,51807
Michigan,2016,52491
South Dakota,2016,54467
Florida,2016,50860
Maine,2016,53079
Ohio,2016,52344
Indiana,2016,52314
Missouri,2016,51746
North Carolina,2016,50584
Montana,2016,50027
South Carolina,2016,49501
Tennessee,2016,48547
Oklahoma,2016,49176
Kentucky,2016,46659
New Mexico,2016,46748
Alabama,2016,46257
Louisiana,2016,45146
Arkansas,2016,44334
West Virginia,2016,43385
Mississippi,2016,41754
United States,2015,55775
"Washington, D.C.",2015,75628
Maryland,2015,75847
Massachusetts,2015,70628
New Jersey,2015,72222
Hawaii,2015,73486
California,2015,64500
Connecticut,2015,71346
Washington,2015,64129
New Hampshire,2015,70303
Colorado,2015,63909
Virginia,2015,66262
Utah,2015,62912
Alaska,2015,73355
Minnesota,2015,63488
New York,2015,60850
Rhode Island,2015,58073
Delaware,2015,61255
Illinois,2015,59588
Oregon,2015,54148
Wyoming,2015,60214
North Dakota,2015,60557
Wisconsin,2015,55638
Texas,2015,55653
Pennsylvania,2015,55702
Nevada,2015,52431
Nebraska,2015,54996
Vermont,2015,56990
Kansas,2015,53906
Arizona,2015,51492
Georgia,2015,51244
Iowa,2015,54736
Idaho,2015,48275
Michigan,2015,51084
South Dakota,2015,53017
Florida,2015,49426
Maine,2015,51494
Ohio,2015,51075
Indiana,2015,50532
Missouri,2015,50238
North Carolina,2015,47830
Montana,2015,49509
South Carolina,2015,47238
Tennessee,2015,47275
Oklahoma,2015,48568
Kentucky,2015,45215
New Mexico,2015,45382
Alabama,2015,44765
Louisiana,2015,45727
Arkansas,2015,41995
West Virginia,2015,42019
Mississippi,2015,40593
